"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11950","test_create_order[order_data1-\u043d\u0438\u0436\u043d\u044e\u044e]","tests","2026-08-19","passed","2026-08-19","TestOrder","test_order","",""
"","211","Проверка перехода на главную страницу по клику на логотип 'Самокат'","tests","2026-08-19","passed","2026-08-19","TestNavigation","test_navigation","",""
"","558","test_faq_answer[q3]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","62","test_faq_answer[q6]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","132","test_faq_answer[q0]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","12085","test_create_order[order_data0-\u0432\u0435\u0440\u0445\u043d\u044e\u044e]","tests","2026-08-19","passed","2026-08-19","TestOrder","test_order","",""
"","540","test_faq_answer[q7]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","178","test_faq_answer[q1]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","1127","Проверка перехода на Дзен по клику на логотип 'Яндекс'","tests","2026-08-19","passed","2026-08-19","TestNavigation","test_navigation","",""
"","63","test_faq_answer[q5]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","552","test_faq_answer[q4]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
"","263","test_faq_answer[q2]","tests","2026-08-19","passed","2026-08-19","TestFAQ","test_faq","",""
